"Sukunimi","Yhteensä"
"Kiviranta",1 223
"Raitanen",1 222
"Suuronen",1 221
"Kivi",1 220
"Mielonen",1 219
"Hintikka",1 217
"Ek",1 212
"Fagerström",1 212
"Pietarinen",1 211
"Tarkiainen",1 211
"Himanen",1 210
"Liikanen",1 201
"Saarenpää",1 200
"Tuononen",1 198
"Janhunen",1 197
"Haapamäki",1 195
"Lundberg",1 194
"Rekola",1 194
"Ratilainen",1 190
"Siivonen",1 189
"Ruokonen",1 186
"Bergström",1 184
"Leskelä",1 184
"Veijalainen",1 181
"Rantamäki",1 178
"Parikka",1 177
"Sarkkinen",1 175
"Gröhn",1 174
"Julkunen",1 172
"Marjamäki",1 170
"Kirjavainen",1 168
"Sundell",1 167
"Jalava",1 164
"Laatikainen",1 163
"Kannisto",1 161
"Rahikainen",1 161
"Ström",1 159
"Varjonen",1 158
"Granlund",1 157
"Ripatti",1 155
"Nikander",1 154
"Junnila",1 152
"Vesa",1 152
"Saario",1 151
"Raappana",1 150
"Tanninen",1 150
"Granholm",1 148
"Saarikoski",1 148
"Vänttinen",1 143
"Palo",1 142
"Pentikäinen",1 142
"Vaara",1 141
"Reunanen",1 139
"Kemppi",1 136
"Myllynen",1 136
"Hongisto",1 134
"Kauranen",1 132
"Rautanen",1 131
"Lyytinen",1 129
"Paasonen",1 129
"Peura",1 129
"Häggblom",1 127
"Ilomäki",1 127
"Kekki",1 126
"Nisula",1 126
"Westerholm",1 124
"Juhola",1 123
"Kesti",1 123
"Martin",1 123
"Äijälä",1 123
"Okkonen",1 120
"Blomberg",1 119
"Kunnari",1 119
"Hulkkonen",1 116
"Loikkanen",1 116
"Sarajärvi",1 114
"Heinänen",1 112
"Majuri",1 112
"Lampela",1 111
"Maijala",1 111
"Oksa",1 107
"Ahlgren",1 105
"Jutila",1 100
"Åberg",1 099
"Lukkari",1 098
"Niinimäki",1 092
"Östman",1 091
"Rosenberg",1 090
"Åkerlund",1 089
"Forsberg",1 087
"Kolari",1 087
"Katainen",1 085
"Ristimäki",1 085
"Tölli",1 085
"Takkinen",1 084
"Sjöholm",1 083
"Vilén",1 083
"Forss",1 076
"Kontkanen",1 076
"Lamminen",1 072
"Pollari",1 070
"Kytölä",1 069
"Vornanen",1 067
"Ropponen",1 065
"Tuppurainen",1 065
"Korkiakoski",1 064
"Söderström",1 063
"Knuutila",1 062
"Lundström",1 051
"Roininen",1 047
"Tissari",1 047
"Metso",1 046
"Mäkipää",1 046
"Bäckman",1 045
"Heikura",1 045
"Hirvelä",1 044
"Ijäs",1 043
"Hedman",1 042
"Hietamäki",1 041
"Arvola",1 040
"Weckström",1 040
"Sorvari",1 038
"Aronen",1 037
"Kela",1 035
"Tiitinen",1 033
"Lempiäinen",1 031
"Vikström",1 031
"Markkula",1 030
"Uutela",1 030
"Österberg",1 028
"Kapanen",1 020
"Malm",1 019
"Härmä",1 017
"Juutinen",1 017
"Nilsson",1 017
"Puurunen",1 016
"Korpinen",1 015
"Kaasinen",1 014
"Kemppinen",1 012
"Similä",1 012
"Olli",1 009
"Saloranta",1 008
"Yrjölä",1 008
"Myllykoski",1 007
"Palm",1 004
"Björkman",1 000
"Ekström",998
"Hujanen",997
"Strömberg",995
"Pärssinen",994
"Kallinen",993
"Rusanen",992
"Katajisto",991
"Järveläinen",989
"Roivainen",989
"Haarala",988
"Peltokangas",988
"Rajaniemi",987
"Porkka",986
"Lång",982
"Tuukkanen",982
"Nummi",981
"Surakka",981
"Uimonen",978
"Pulliainen",977
"Teittinen",977
"Luukkanen",976
"Suorsa",976
"Toikkanen",976
"Hildén",975
"Höglund",974
"Ylikoski",971
"Salomäki",970
"Laitala",969
"Rannikko",968
"Niva",966
"Rahkola",964
"Syrjä",958
"Törmä",958
"Sirkiä",957
"Virkki",957
"Purhonen",956
"Ilvonen",952
"Koivukangas",952
"Österlund",952
"Hintsala",951
"Ikävalko",950
"Könönen",950
"Björk",949
"Viljamaa",949
"Nordberg",945
"Kajander",944
"Kuvaja",943
"Loponen",943
"Suonpää",943
"Rönkä",942
"Enqvist",941
"Siira",941
"Siponen",941
"Nokelainen",940
"Hietikko",937
"Kröger",937
"Mönkkönen",936
"Kaasalainen",935
"Kasurinen",934
"Kulju",934
"Käyhkö",934
"Karppanen",933
"Kurkela",933
"Palviainen",933
"Pusa",932
"Terho",931
"Henttonen",930
"Kallioniemi",930
"Dahl",929
"Lindblom",927
"Koskelainen",926
"Metsälä",926
"Stenman",926
"Asplund",925
"Nummelin",925
"Romppainen",925
"Juuti",922
"Kaski",922
"Backlund",921
"Hellström",921
"Toropainen",920
"Häyrinen",916
"Palokangas",915
"Oksman",914
"Perkiö",912
"Klemola",911
"Pöntinen",911
"Kopra",910
"Isomäki",905
"Knuuttila",905
"Liimatta",905
"Malin",905
"Mehtälä",904
"Naumanen",904
"Hassan",903
"Lievonen",903
"Heikkonen",902
"Rouvinen",902
"Granqvist",901
"Pöyry",901
"Back",900
"Mantere",899
"Arponen",895
"Toiviainen",895
"Parkkila",894
"Haakana",890
"Koskelo",889
"Pajula",888
"Paldanius",888
"Vesanen",887
"Puolakka",885
"Riekki",883
"Kanniainen",882
"Lohi",882
"Luokkanen",881
"Sandell",881
"Lund",880
"Ruokolainen",880
"Siren",880
"Mäkynen",878
"Pyykönen",877
"Isaksson",876
"Tran",876
"Miettunen",875
"Norrgård",875
"Ukkola",874
"Laasonen",873
"Lahtela",873
"Myllyniemi",870
"Silander",870
"Huovila",868
"Isoaho",868
"Kankare",868
"Luomala",868
"Räikkönen",868
"Boman",867
"Jurvanen",867
"Palola",867
"Smeds",864
"Pajari",863
"Hyyryläinen",860
"Ahlqvist",859
"Halinen",859
"Kotiranta",858
"Vierimaa",857
"Herrala",856
"Lahdenperä",855
"Ohtonen",855
"Sironen",854
"Paaso",853
"Suikkanen",853
"Tuomikoski",853
"Sorjonen",852
"Berglund",851
"Takalo",850
"Stenroos",847
"Pernu",846
"Särkkä",846
"Viskari",846
"Haapasalo",845
"Ristola",843
"Vihavainen",843
"Vähäkangas",843
"Lehtomäki",842
"Riekkinen",841
"Kurtti",840
"Lauronen",840
"Flink",838
"Tammela",838
"Huuhtanen",837
"Knuutinen",836
"Kurkinen",834
"Poikonen",834
"Kallioinen",833
"Myller",833
"Rinkinen",833
"Vaarala",833
"Savola",832
"Korkalainen",830
"Valo",830
"Laurikainen",829
"Malmi",829
"Launonen",828
"Niemistö",828
"Raivio",827
"Schroderus",827
"Hagman",825
"Möttönen",824
"Pakkala",824
"Kinnari",823
"Hinkkanen",822
"Myyryläinen",822
"Saaristo",822
"Rask",820
"Helle",819
"Engström",818
"Koikkalainen",817
"Viinikka",814
"Oinas",812
"Ruusunen",812
"Ristolainen",810
"Fredriksson",808
"Kujansuu",808
"Pentti",807
"Wiik",807
"Tikkala",806
"Vahtera",806
"Paloniemi",805
"Brandt",804
"Reiman",804
"Haatainen",803
"Husu",800
"Kojo",799
"Bäckström",797
"Tuunanen",797
"Myllykangas",796
"Hyppönen",795
"Aikio",794
"Jakobsson",792
"Mertanen",792
"Kostiainen",791
"Lampi",791
"Lepola",791
"Rosendahl",791
"Taskila",791
"Kantonen",789
"Rosenqvist",788
"Korkala",787
"Ruhanen",786
"Pölönen",785
"Bäck",784
"Forsell",783
"Havukainen",783
"Kallunki",783
"Ahvenainen",782
"Hölttä",782
"Ilola",782
"Kankainen",782
"Pohjolainen",780
"Vento",780
"Lähdesmäki",778
"Pullinen",778
"Keto",775
