"Etunimi","Lukumäärä"
"Petrinpoika",184
"Steven",184
"Andres",183
"Charlie",182
"Jaajo",182
"Jan-Olof",181
"Harrinpoika",180
"Ludwig",180
"Sami-Pekka",180
"Per-Olof",179
"Muhammed",178
"Jyry",177
"Lemmy",177
"Mitro",177
"Sean",177
"Villenpoika",177
"Auno",176
"Alessandro",175
"Emir",175
"Sami-Petteri",175
"Valle",175
"Asla",174
"Brian",173
"Miiro",173
"Nils-Erik",173
"Valentino",173
"Isaac",172
"Ollinpoika",172
"Carlo",171
"Jero",171
"Sakke",171
"Stephen",170
"Antoni",169
"Filemon",169
"Rikard",168
"Bo-Erik",167
"Ethan",167
"Jaakob",167
"Jaan",167
"Jeremi",167
"Juho-Matti",167
"Oliwer",166
"Anttu",165
"Damien",165
"Efraim",165
"Kaspar",165
"Malakias",165
"Rabbe",165
"Yasin",165
"Emre",164
"Jaakkima",164
"Josua",164
"Markonpoika",164
"Robertino",164
"Timoteus",164
"Vadim",163
"Alejandro",162
"Jerker",162
"Risto-Matti",162
"Eeka",161
"Jirka",161
"José",161
"Mahmoud",161
"Niko-Petteri",161
"Vinski",161
"Chris",160
"Claes",160
"Franz",160
"Hermann",160
"Simeoni",160
"Zakaria",160
"Jaako",159
"Jamiel",159
"Deniz",158
"Esa-Matti",158
"Jamal",158
"Mohamad",158
"Severin",158
"Carl-Erik",157
"Curt",157
"Dylan",157
"Jani-Pekka",157
"Juhan",157
"Karlo",157
"Aslan",156
"Jiro",156
"Raoul",156
"Tahvo",156
"Alpertti",155
"Carl-Gustav",155
"Mahdi",155
"Ray",155
"Hampus",154
"Wilho",154
"Evan",152
"Kaj-Erik",152
"Vikke",152
"Silvo",151
"Juha-Petteri",150
"Andrea",149
"Elton",149
"Jan-Anders",149
"Elijah",148
"Mateo",148
"Morgan",148
"Bilal",147
"Jousia",147
"Kunto",147
"Adnan",146
"Jeri",146
"Juhamatti",146
"Saminpoika",146
"Aaprami",145
"Ano",145
"Christofer",145
"Hans-Erik",145
"Vladislav",145
"Angelo",144
"Emerik",144
"Joacim",144
"Kosmo",144
"Misa",144
"Sanfrid",144
"Dominik",143
"Jan-Henrik",143
"Pedro",143
"Sammy",143
"Anatoli",142
"Dante",142
"Egil",142
"Juska",142
"Anh",141
"Caius",141
"Eirik",141
"Juuse",141
"Matti-Pekka",141
"Moritz",141
"Vilpas",141
"Francisco",140
"Janne-Pekka",140
"Miku",140
"Nathaniel",140
"Remi",140
"Vesanpoika",140
"Harto",139
"Marcel",139
"Pär",139
"Daavid",138
"Hendrik",138
"Reza",138
"Aksu",137
"Erkinpoika",137
"Fridolf",137
"Jerome",137
"Marek",137
"Rayan",137
"Roi",137
"Arman",136
"Jouka",136
"Måns",136
"Odin",136
"Juha-Petri",135
"Nelson",135
"Vieno",135
"Wilhelmi",135
"Fernando",133
"Laurinpoika",133
"Mikail",133
"Pepe",133
"Ilyas",132
"Stephan",132
"Jouninpoika",131
"Malik",131
"Ristonpoika",131
"Toomas",131
"Evgeny",130
"Israel",130
"Ragnvald",130
"Ville-Markus",130
"Diego",129
"Pablo",129
"Damian",128
"Marlon",128
"Melker",128
"Weeti",128
"Brynolf",127
"Elvin",127
"Hamid",127
"Ismael",127
"Leonid",126
"Md.",126
"Natanael",126
"Nikanor",126
"Riku-Pekka",126
"Stanislav",126
"Vili-Valtteri",126
"Ernesto",125
"Ilkanpoika",125
"Joeli",125
"Milko",125
"Pehr",125
"Tami",125
"Willem",125
"Eemu",124
"Jooel",124
"Muhamed",124
"Nicolai",124
"Oswald",124
"Scott",124
"Mahad",123
"Musa",123
"Rolle",123
"Engelbert",122
"Niku",122
"Akilles",121
"Claus",121
"Mehdi",121
"Mikko-Pekka",121
"Timur",121
"Esanpoika",120
"Havu",120
"Kenny",120
"Pasinpoika",120
"Sven-Olof",120
"Ante",119
"Eeronpoika",119
"Eki",119
"Justin",119
"Nuuti",119
"Riku-Petteri",119
"Volter",119
"Anto",118
"Erling",118
"Huuko",118
"Jakke",118
"Jussi-Petteri",118
"Keimo",118
"Mikki",118
"Aden",117
"Matheo",117
"Nikolaus",117
"Thorvald",117
"Hoang",116
"Mahamud",116
"Vitali",116
"Kian",115
"Marlo",115
"Riki",115
"Abdifatah",114
"Alexandros",114
"Bastian",114
"Dag",114
"Rudi",114
"Ruuben",114
"Theodore",114
"Tito",114
"Armo",113
"Emppu",113
"Yahya",113
"Aito",112
"Ilias",112
"Khaled",112
"Anthon",111
"Can",111
"Reeti",111
"Reh",111
"Trygve",111
"Atle",110
"Gilbert",110
"Jama",110
"Jussa",110
"Salama",110
"Aziz",109
"Feodor",109
"Frederick",109
"Jonah",109
"Kumar",109
"Raphael",109
"Reidar",109
"Volmar",109
"Hasse",108
"Runo",108
"Sipi",108
"Tor-Erik",108
"Winston",108
"Antti-Juhani",107
"Joska",107
"Kalle-Pekka",107
"Martinpoika",107
"Pieti",107
"Veetu",107
"Vilmer",107
"Ale",106
"Anwar",106
"Carl-Henrik",106
"Pierre",106
"Ralph",106
"Roobert",106
"Sander",106
"Seponpoika",106
"Tuomaanpoika",106
"Iivar",105
"Isidor",105
"Jamie",105
"Joosef",105
"Kuura",105
"Teronpoika",105
"Duc",104
"Enok",104
"Juhonpoika",104
"Paolo",104
"Poika",104
"Aki-Petteri",103
"Conrad",103
"Janinpoika",103
"Karl-Henrik",103
"Matvei",103
"Semi",103
"Östen",103
"Donald",102
"Faisal",102
"Jan-Kristian",102
"Javier",102
"Mooses",102
"Nikolaos",102
"Saad",102
"Taha",102
"Youssef",102
"Atlas",101
"Georgios",101
"Jordan",101
"Quang",101
"Willy",101
"Adil",100
"Ananias",100
"Douglas",100
"Eenokki",100
"Enzo",100
"Francesco",100
"Nabil",100
"Tuan",100
"Wili",100
"Arian",99
"Ari-Jukka",99
"Bashir",99
"Eduardo",99
"Juhaninpoika",99
"Petrik",99
"Rinaldo",99
"Tapionpoika",99
"Tarvo",99
"Akram",98
"Antony",98
"Carl-Gustaf",98
"Ernfrid",98
"Ilppo",98
"Junnu",98
"Mies",98
"Olivier",98
"Olov",98
"Philippe",98
"Steve",98
"Walfrid",98
"Wolfgang",98
"Andy",97
"Eero-Pekka",97
"Enrique",97
"Kiril",97
"Nick",97
"Vilperi",97
"Frederik",96
"Jarmonpoika",96
"Joni-Petteri",96
"Lenne",96
"Malte",96
"Niiles",96
"Aabel",95
"Alexandr",95
"Artonpoika",95
"Farah",95
"Lawrence",95
"Mikaeli",95
"Olli-Petteri",95
"Renny",95
"Riko",95
"Seemi",95
"Volmari",95
"Aram",94
"Erich",94
"Hung",94
"Jerri",94
"Karel",94
"Severus",94
"Stig-Erik",94
"Taimo",94
"Ukko-Pekka",94
"Vasili",94
"Asarias",93
"Aston",93
"Crister",93
"Edmund",93
"Ilya",93
"Jokke",93
"Kasmir",93
"Lars-Johan",93
"Md",93
"Nicky",93
"Sayed",93
"Edvart",92
"El",92
"Florian",92
"Hadi",92
"Heinrich",92
"Launo",92
"Rio",92
"Totte",92
"Vaito",92
"Ayman",91
"Brandon",91
"Constantin",91
"Ekku",91
"Jani-Matti",91
"Kenth",91
"Kimmonpoika",91
"Nur",91
"Seth",91
"Wihtori",91
"Aadam",90
"Anshelm",90
"Cedric",90
"Fritz",90
"Janiel",90
"Jona",90
"Reetu",90
"Ahmet",89
"Arho",89
"Joni-Pekka",89
"Lorenzo",89
"Murat",89
"Peder",89
"Pentinpoika",89
"Timmy",89
"Willehard",89
"Calle",88
"Carolus",88
"Felipe",88
"Imran",88
"Mostafa",88
"Sigvald",88
"Sirius",88
"Veli-Jussi",88
"Abram",87
"Salah",87
"Bernard",86
"Dean",86
"Fredric",86
"Halti",86
"Hashim",86
"Hussain",86
"Jan-Eric",86
"Kamal",86
"Marcos",86
"Mert",86
"Pauno",86
"Ruslan",86
"Xavier",86
"Zachary",86
"Abiel",85
"Adel",85
"Eli",85
"Friedrich",85
"Jay",85
"Konstantinos",85
"Quoc",85
"Amar",84
"Angel",84
"Antte",84
"Armando",84
"Haidar",84
"Jeremiah",84
"Vilpertti",84
"Armin",83
"Cay",83
"Jayden",83
"Kaapro",83
"Mika-Petteri",83
"Santiago",83
"Valerian",83
"Venneri",83
"Aidan",82
"Antreas",82
"Bert",82
"Caspar",82
"Göte",82
"Jarkonpoika",82
"Lalli",82
"Mickael",82
"Muisto",82
"Otto-Ville",82
"Per-Ole",82
"Raikas",82
"Thure",82
"Velu",82
"Abdirashid",81
"Ere",81
"Juho-Petteri",81
"Liban",81
"Lorenz",81
"Miron",81
"Penjami",81
"Päivö",81
"Ulrik",81
"Valte",81
"Yahye",81
"Abdel",80
"Abdirizak",80
"Andréas",80
"Arhippa",80
"Hanno",80
"Hiskias",80
"Idris",80
"Jirko",80
"Long",80
"Nikolay",80
"Tuomonpoika",80
"Aalto",79
"Alexsander",79
"Andrej",79
"Antoine",79
"Jan-Ole",79
"Joar",79
"Julle",79
"Jyri-Pekka",79
"Kallenpoika",79
"Lennu",79
"Nikolaj",79
"Sasha",79
"Stefanus",79
"Tomminpoika",79
"Wiktor",79
"Abdallah",78
"Antonius",78
"Asad",78
"Ebbe",78
"Feeliks",78
"Fritiof",78
"Giovanni",78
"Hakim",78
"Jan-Markus",78
"Lev",78
"Manfred",78
"Masa",78
"Mika-Petri",78
"Simonpoika",78
"Antti-Ville",77
"Ate",77
"Haakon",77
"Juho-Antti",77
"Markko",77
"Melwin",77
"Robi",77
"Salman",77
"Vili-Petteri",77
"Abukar",76
"Alek",76
"Attila",76
"Bror-Erik",76
"Danny",76
"Duy",76
"Hubert",76
"Jürgen",76
"Keith",76
"Paulo",76
"Efe",75
"Jevgeni",75
"Kristjan",75
"Lenna",75
"Omer",75
"Don",74
"Egor",74
"Ermo",74
"Juhapekka",74
"Kunnari",74
