"Etunimi","Lukumäärä"
"Theresa",395
"Katharina",393
"Henriika",392
"Nenna",392
"Anna-Lisa",391
"Mariann",391
"Hanna-Maija",389
"Kirsi-Maria",386
"Britt",384
"Filippa",384
"Gunhild",383
"Kristin",383
"Ruusa",383
"Hellen",381
"Ann-Sofi",379
"Tiia-Maria",379
"Lia",378
"Sarianne",378
"Lauriina",374
"Sabrina",374
"Freja",373
"Jennika",373
"Miira",373
"Jarna",372
"Mirja-Liisa",372
"Hassan",370
"Maj-Len",370
"Lilly",369
"Merituuli",369
"Ninja",368
"Vaula",368
"Melisa",367
"Josephine",366
"Carla",365
"Hilppa",365
"Barbara",362
"Grace",362
"Ulriika",362
"Erna",360
"Minna-Liisa",360
"Gretel",358
"Leena-Maija",358
"Alexia",357
"Raija-Liisa",357
"Sonia",357
"Desiree",356
"Evita",353
"Sofianna",353
"Adéle",352
"Kustaava",352
"Ainikki",350
"Evelia",350
"Annabella",349
"Mielikki",349
"Amira",348
"Anri",345
"Armiida",344
"Raita",343
"Klara",341
"Rut",341
"Susa",341
"Rosa-Maria",339
"Thea",339
"Sienna",338
"Kajsa",337
"Jessi",336
"Valborg",336
"Ann-Sofie",335
"Gerd",334
"Nadia",334
"Adalmina",332
"Hillervo",332
"Jenina",332
"Illusia",331
"Liia",328
"Sanja",328
"Suvi-Tuuli",327
"Ethel",326
"Eriikka",325
"Maia",325
"Adina",324
"Alessia",324
"Eva-Maria",324
"Evi",324
"Maryam",323
"Selena",323
"Henriette",322
"Auri",321
"Ann-Charlotte",319
"Maikki",319
"Miila",319
"Ylva",319
"Daria",318
"Lemmitty",318
"Aniitta",317
"Eeva-Leena",317
"Ilma",317
"Denise",316
"Zahra",316
"Göta",315
"Marisa",315
"Anna-Lena",311
"Margetta",310
"Natasha",310
"Lyyti",309
"Celina",308
"Aino-Maria",307
"Ragnhild",307
"Salma",307
"Arja-Liisa",306
"Elmi",306
"Anna-Kaarina",305
"Eeva-Kaisa",305
"Gertrud",305
"Nette",304
"Malviina",303
"Petronella",303
"Abdullahi",302
"Eeva-Riitta",302
"Emelia",301
"Karelia",301
"Klaara",300
"Auni",299
"Minnea",299
"Annaliisa",298
"Pauline",298
"Eleanor",296
"Maija-Riitta",296
"Salla-Mari",296
"Annamaria",295
"Janniina",295
"Lotte",295
"Marke",295
"Caroliina",294
"Ksenia",294
"Myy",293
"Hildegard",291
"Theresia",291
"Lillemor",290
"Maini",290
"Suvi-Tuulia",290
"Disa",289
"Hanna-Riikka",289
"Janet",289
"Leonora",289
"Jannica",288
"Jennie",288
"Marie-Louise",288
"Sissi",288
"Judith",287
"Tiiu",287
"Hanna-Liisa",286
"Isabell",286
"Jolanda",286
"Elli-Noora",285
"Laimi",283
"Mariina",283
"Pieta",283
"Alviina",282
"Anna-Riikka",282
"Seidi",282
"Anna-Riitta",281
"Gunborg",281
"Hanni",281
"Marietta",281
"Martha",279
"Rose-Marie",279
"Kaija-Leena",277
"Kim",275
"Simone",275
"Dina",274
"Marion",274
"Arja-Leena",272
"Belinda",272
"Stephanie",272
"Ann-Kristin",271
"Arla",271
"Armida",270
"Hjördis",270
"Ngoc",270
"Melanie",269
"Clarissa",268
"Rosaliina",268
"Julie",267
"Ninna",266
"Adriana",265
"Anastacia",265
"Salome",265
"Sirke",265
"Eeva-Kaarina",264
"Karola",264
"Telma",264
"Tilde",264
"Desiré",263
"Nancy",263
"Estella",260
"Ilmatar",260
"Meimi",260
"Molly",260
"Annakaisa",258
"Aino-Maija",256
"Liana",255
"Tekla",254
"Ulrica",253
"Juliet",252
"Fia",251
"Sirpa-Liisa",250
"Malena",248
"Larisa",247
"Alessandra",246
"Hellikki",246
"Minna-Maria",246
"Solja",246
"Etel",244
"Emmy",243
"Esmeralda",243
"Jana",243
"Leni",243
"Tinka",243
"Ingela",242
"Vadelma",242
"Viliina",242
"Kaija-Liisa",241
"Helle",240
"Desirée",239
"Noona",239
"Pia-Maria",239
"Sannamari",239
"Annamaija",238
"Ariel",238
"Karen",238
"Riitta-Leena",238
"Gunnevi",237
"Severiina",237
"Alexa",236
"Ann-Louise",236
"Pirjetta",236
"Bodil",235
"Sally",235
"Margot",234
"Anitra",232
"Ingalill",232
"Marta",232
"Merja-Liisa",232
"Sanna-Maija",232
"Thuy",232
"Antonina",231
"Valdine",231
"Ann-Britt",230
"Reea",229
"Bernice",228
"Gudrun",228
"Nadezda",228
"Nicola",228
"Ulla-Riitta",228
"Iia",227
"Katerina",227
"Kristel",227
"Manta",227
"Meri-Tuulia",227
"Rachel",226
"Amy",225
"Polina",225
"Ani",224
"Christin",224
"Heidi-Maria",224
"Pilvikki",223
"Nova",222
"Viia",222
"Adolfiina",221
"Li",221
"Piitu",221
"Vivan",221
"Annabel",220
"Ana",219
"Liv",219
"Rosalia",219
"Tindra",219
"Mercedes",218
"Venny",218
"Anne-Maija",217
"Milma",217
"Tia-Maria",217
"Alla",216
"Mei",216
"Mimi",216
"Yasmine",216
"Liudmila",214
"Majlis",214
"Bettiina",213
"Carin",213
"Cindy",213
"Gurli",213
"Tarleena",212
"Daniella",211
"Elizaveta",211
"Freya",211
"Thanh",211
"Ella-Maria",210
"Sallamari",210
"Satu-Maarit",210
"Suvituuli",210
"Halla",208
"Joy",208
"Sina",208
"Judit",207
"Marija",205
"Sanna-Leena",205
"Seelia",205
"Seliina",205
"Anni-Maria",204
"Jasmi",204
"Kiti",204
"Neelia",204
"Santra",204
"Betty",203
"Eija-Riitta",203
"Maria-Liisa",203
"Mina",203
"Minna-Mari",203
"Serena",203
"Thu",202
"Crista",201
"Gerda",201
"Juliette",201
"Katinka",201
"Saskia",201
"Ariana",198
"Marjaleena",198
"Hussein",197
"Milaja",197
"Nicolina",196
"Omar",196
"Annaleena",195
"Elsie",195
"Hille",194
"Mohammed",194
"Eedla",193
"Lyydi",193
"Tanya",193
"Ulla-Britt",193
"Anne-Marja",192
"Eliisabet",192
"Liliana",192
"Tiitu",192
"Tuisku",192
"Ida-Sofia",190
"Nia",190
"Nanni",189
"Sabine",189
"Desire",188
"Malva",188
"Dagny",187
"Inga-Britt",187
"Suvi-Päivikki",187
"Elissa",186
"Jekaterina",186
"Merike",186
"Iira",185
"Katri-Helena",185
"Nellie",185
"Thelma",185
"Anh",184
"Ibrahim",184
"Saida",184
"Matintytär",183
"Yulia",183
"Ellie",182
"Phuong",182
"Riitta-Maija",182
"Tatjaana",182
"Vivia",182
"Eliana",181
"Elida",181
"Ia",180
"Ihanelma",180
"Mahamed",180
"Rina",180
"Tyyni",180
"Sarlotta",179
"Eelin",178
"Kaisa-Leena",178
"Vilina",178
"Adela",176
"Amélie",176
"Cia",176
"Cornelia",176
"Märtha",176
"Sesilia",176
"Beda",175
"Ljudmila",175
"Tania",175
"Celine",174
"Jenita",174
"Katherine",174
"Hilpi",173
"Lisen",173
"Markit",173
"Fadumo",172
"Lola",171
"Tiina-Liisa",171
"Rosalie",170
"Wenla",170
"Abigail",169
"Eufemia",169
"Mariette",169
"Ranja",169
"Hannaleena",168
"Jennica",168
"Mohamud",168
"Samantha",168
"Tarja-Leena",168
"Estrid",167
"Maria-Leena",167
"Ofelia",167
"Ruska",167
"Antintytär",166
"Dolores",166
"Francesca",166
"Kaneli",166
"Kastanja",166
"Maari",166
